Title: Primitive mantle composition from McDonough & Sun (1995),

liquid_0 thermodynamic data and composition:
Pressure Temperature mass S H V Cp viscosity SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O Mg#
22251.10 1619.44 2.686847 8.306262 -29866.284777 0.986929 4.310502 0.311 43.1966 1.10829 13.9495 0.783817 0.247511 8.27569 14.0489 6.52558 7.0258 1.07933 0.781585 2.97747 75.1
21957.70 1619.13 2.753230 8.493129 -30676.704951 1.010658 4.414635 0.337 43.2865 1.08393 14.1462 0.783292 0.228759 8.25204 14.0068 6.59917 6.89161 1.05331 0.762741 2.90568 75.1
21664.30 1618.83 2.823502 8.690740 -31533.420203 1.035742 4.524854 0.362 43.3748 1.05917 14.341 0.782949 0.210239 8.23114 13.9666 6.67595 6.75399 1.02709 0.743757 2.83336 75.1
21370.90 1618.53 2.897700 8.899138 -32437.071811 1.062195 4.641212 0.388 43.4614 1.03396 14.5337 0.782792 0.192034 8.21289 13.9279 6.7559 6.61315 1.00079 0.724713 2.76081 75.1
21077.50 1618.22 2.975840 9.118300 -33388.068032 1.090024 4.763726 0.414 43.5461 1.00822 14.7244 0.782825 0.174224 8.19722 13.8902 6.83901 6.46928 0.974515 0.705683 2.68832 75.1
20784.20 1617.92 3.058688 9.350392 -34394.951429 1.119487 4.893608 0.440 43.6285 0.981899 14.9123 0.783114 0.156853 8.18514 13.8546 6.92591 6.32149 0.948119 0.686569 2.6155 75.1
20490.80 1617.62 3.146366 9.595672 -35459.339571 1.150624 5.031038 0.466 43.7082 0.95488 15.0975 0.783675 0.139999 8.1767 13.8208 7.01669 6.1698 0.921698 0.667437 2.54262 75.0
20197.50 1617.31 3.238832 9.853927 -36580.880441 1.183421 5.175942 0.491 43.7853 0.927063 15.2795 0.784527 0.123765 8.17206 13.7883 7.11136 6.01434 0.895384 0.648382 2.47003 75.0
19904.20 1617.01 3.337017 10.127755 -37769.954660 1.218188 5.329785 0.517 43.8588 0.898303 15.4579 0.785759 0.108197 8.17251 13.7582 7.21076 5.85395 0.86904 0.629305 2.39735 75.0
19610.90 1616.71 3.440956 10.417127 -39027.012731 1.254932 5.492608 0.542 43.9285 0.868423 15.6321 0.787413 0.0933926 8.1785 13.73 7.31508 5.68847 0.842789 0.610296 2.32494 74.9
19317.60 1616.40 3.547959 10.717615 -40320.063783 1.293184 5.659701 0.569 44.0506 0.856277 15.732 0.788915 0.086623 8.15474 13.6939 7.40096 5.57187 0.817371 0.59189 2.25482 74.9
19024.40 1616.10 3.659426 11.033026 -41666.699666 1.333414 5.833333 0.597 44.2168 0.859341 15.7727 0.790072 0.085873 8.10444 13.6517 7.47122 5.49539 0.792474 0.57386 2.18614 75.0
18731.20 1615.80 3.777721 11.367431 -43095.915765 1.376091 6.017586 0.625 44.3822 0.862395 15.812 0.791273 0.0851024 8.05519 13.6104 7.54433 5.4158 0.767659 0.555891 2.11768 75.0
18437.90 1615.50 3.903476 11.722578 -44615.376521 1.421443 6.213446 0.653 44.5467 0.865438 15.85 0.792522 0.0843127 8.00701 13.5702 7.62045 5.33301 0.742928 0.537982 2.04946 75.1
18144.70 1615.19 4.036844 12.098826 -46227.342414 1.469531 6.421138 0.682 44.7103 0.868439 15.8868 0.793803 0.0835079 7.95962 13.5305 7.69942 5.24734 0.718383 0.520208 1.98175 75.2
17851.60 1614.89 4.179328 12.500430 -47949.254028 1.520878 6.643024 0.710 44.8724 0.871436 15.9218 0.795161 0.0826865 7.91366 13.4923 7.78187 5.15812 0.693891 0.502473 1.91418 75.2
17558.40 1614.59 4.331458 12.928800 -49787.914956 1.575680 6.879919 0.739 45.0333 0.874401 15.9552 0.796583 0.0818522 7.86879 13.4553 7.86777 5.06555 0.669521 0.484825 1.84695 75.3
