Title: Primitive mantle composition from McDonough & Sun (1995),

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
11991.50 1608.84 11.423478 47.8549 0.881897 16.105 0.836939 0.0726375 7.12604 12.9398 10.3359 2.70894 0.253863 0.183832 0.700312
11698.70 1608.53 12.270471 48.0177 0.874544 16.0647 0.839087 0.0737094 7.07615 12.9159 10.5129 2.56578 0.23634 0.171143 0.651972
11405.90 1608.23 13.209400 48.1902 0.865538 16.0134 0.84107 0.0752221 7.02205 12.8914 10.6931 2.42385 0.219541 0.158978 0.605629
11113.10 1607.93 14.244506 48.3754 0.854779 15.9491 0.842834 0.0772487 6.96292 12.8654 10.8751 2.28459 0.203587 0.147425 0.56162
10820.30 1607.63 15.379074 48.5762 0.842209 15.8693 0.844362 0.0798642 6.89827 12.8378 11.0574 2.14926 0.188568 0.136549 0.520187
10527.50 1607.32 16.609650 48.7957 0.827867 15.7718 0.845642 0.0831225 6.82775 12.8079 11.2381 2.01948 0.174597 0.126433 0.481648
10234.80 1607.02 17.934237 49.0365 0.811795 15.6526 0.846734 0.0870691 6.75177 12.7766 11.4159 1.89613 0.161702 0.117094 0.446074
9942.09 1606.72 19.338257 49.3011 0.794194 15.5095 0.847693 0.091677 6.6707 12.7437 11.5886 1.78065 0.149962 0.108593 0.413688
9649.39 1606.42 20.803464 49.5908 0.775313 15.3401 0.848616 0.096854 6.5855 12.7096 11.7544 1.67399 0.1394 0.100945 0.384551
9356.70 1606.11 22.305702 49.9054 0.755479 15.1438 0.84961 0.10242 6.4974 12.6748 11.9114 1.5768 0.130012 0.0941463 0.358653
9064.04 1605.81 23.829859 50.2441 0.7349 14.9193 0.850819 0.10817 6.408 12.641 12.0594 1.48868 0.121696 0.0881247 0.335713
8771.39 1605.51 24.957184 50.6249 0.7178 14.7399 0.849614 0.113742 6.34589 12.6754 11.9842 1.42765 0.116199 0.0841441 0.320549
8478.75 1605.21 25.803236 51.0346 0.703612 14.5973 0.846536 0.119275 6.30392 12.7622 11.7454 1.38327 0.112389 0.0813851 0.310039
8186.14 1604.91 26.676185 51.456 0.689401 14.4392 0.843626 0.124856 6.26129 12.8514 11.5068 1.34016 0.108711 0.0787219 0.299893
7893.54 1604.60 27.575477 51.8887 0.675141 14.2652 0.840915 0.13041 6.21795 12.9423 11.2696 1.29836 0.105166 0.0761546 0.290113
7600.96 1604.30 28.505677 52.3328 0.660724 14.0743 0.838444 0.135895 6.17434 13.0365 11.0333 1.25768 0.101734 0.0736695 0.280646
7308.40 1604.00 29.467207 52.7878 0.64613 13.8665 0.836231 0.141235 6.13044 13.1334 10.799 1.21812 0.0984145 0.0712657 0.271488
7015.85 1603.70 30.462868 53.2532 0.631317 13.6418 0.834293 0.146371 6.08641 13.2337 10.5666 1.17959 0.0951979 0.0689364 0.262615
6723.33 1603.40 31.496286 53.7287 0.616245 13.4002 0.832635 0.151252 6.0424 13.3377 10.3361 1.14201 0.0920743 0.0666745 0.253998
6430.81 1603.09 32.559796 54.2072 0.601051 13.1451 0.831421 0.155823 5.99938 13.4456 10.1096 1.10566 0.0890669 0.0644967 0.245702
6138.32 1602.79 32.688179 54.1365 0.598667 13.105 0.846047 0.159894 6.04708 13.5432 10.0646 1.10132 0.0887171 0.0642434 0.244737
