Title: Primitive mantle composition from McDonough & Sun (1995),

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 Cr2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
17265.20 1614.28 99.965548 45.0155 0.201069 4.45153 0.404863 0.384132 7.68847 37.813 3.55122 0.360124 0.02901 0.0210072 0.0800276
16972.10 1613.98 99.965608 45.0155 0.201069 4.45153 0.405457 0.384132 7.68793 37.813 3.55122 0.360124 0.02901 0.0210072 0.0800275
16679.00 1613.68 99.965657 45.0155 0.201069 4.45153 0.405946 0.384132 7.68749 37.813 3.55122 0.360124 0.02901 0.0210072 0.0800275
16385.90 1613.38 99.965694 45.0154 0.201069 4.45153 0.406319 0.384132 7.68715 37.813 3.55122 0.360124 0.02901 0.0210072 0.0800275
16092.80 1613.07 99.965719 45.0154 0.201069 4.45153 0.406566 0.384132 7.68693 37.813 3.55122 0.360123 0.0290099 0.0210072 0.0800274
15799.70 1612.77 99.965730 45.0154 0.201069 4.45153 0.406675 0.384132 7.68683 37.813 3.55122 0.360123 0.0290099 0.0210072 0.0800274
15506.70 1612.47 99.965725 45.0154 0.201069 4.45153 0.406632 0.384132 7.68687 37.813 3.55122 0.360123 0.0290099 0.0210072 0.0800274
15213.70 1612.16 99.965704 45.0154 0.201069 4.45153 0.406423 0.384132 7.68706 37.813 3.55122 0.360124 0.0290099 0.0210072 0.0800274
14920.70 1611.86 99.965665 45.0155 0.201069 4.45153 0.406029 0.384132 7.68742 37.813 3.55122 0.360124 0.02901 0.0210072 0.0800275
14627.70 1611.56 99.965605 45.0155 0.201069 4.45153 0.405433 0.384132 7.68796 37.813 3.55122 0.360124 0.02901 0.0210072 0.0800275
14334.70 1611.26 99.965523 45.0155 0.201069 4.45153 0.404612 0.384132 7.6887 37.813 3.55122 0.360124 0.02901 0.0210072 0.0800276
14041.70 1610.95 99.965416 45.0156 0.20107 4.45154 0.403546 0.384133 7.68967 37.8131 3.55123 0.360125 0.02901 0.0210073 0.0800277
13748.80 1610.65 99.965282 45.0156 0.20107 4.45155 0.402205 0.384133 7.69089 37.8131 3.55123 0.360125 0.0290101 0.0210073 0.0800278
13455.90 1610.35 99.965117 45.0157 0.20107 4.45155 0.400561 0.384134 7.69238 37.8132 3.55124 0.360126 0.0290101 0.0210073 0.0800279
13162.90 1610.05 99.964919 45.0158 0.201071 4.45156 0.398584 0.384135 7.69418 37.8133 3.55125 0.360126 0.0290102 0.0210074 0.0800281
12870.10 1609.74 99.964685 45.0159 0.201071 4.45157 0.396244 0.384136 7.6963 37.8134 3.55125 0.360127 0.0290102 0.0210074 0.0800283
12577.20 1609.44 99.964410 45.016 0.201072 4.45158 0.3935 0.384137 7.69879 37.8135 3.55126 0.360128 0.0290103 0.0210075 0.0800285
12284.30 1609.14 99.964091 45.0162 0.201072 4.4516 0.39032 0.384138 7.70168 37.8136 3.55128 0.360129 0.0290104 0.0210075 0.0800287
11991.50 1608.84 99.963726 45.0163 0.201073 4.45161 0.386674 0.384139 7.70499 37.8137 3.55129 0.360131 0.0290105 0.0210076 0.080029
11698.70 1608.53 99.963312 45.0165 0.201074 4.45163 0.382545 0.384141 7.70874 37.8139 3.5513 0.360132 0.0290106 0.0210077 0.0800294
11405.90 1608.23 99.962848 45.0167 0.201075 4.45165 0.37791 0.384143 7.71294 37.814 3.55132 0.360134 0.0290108 0.0210078 0.0800297
11113.10 1607.93 99.962334 45.017 0.201076 4.45168 0.372788 0.384145 7.71759 37.8142 3.55134 0.360136 0.0290109 0.0210079 0.0800301
10820.30 1607.63 99.961777 45.0172 0.201077 4.4517 0.367224 0.384147 7.72265 37.8145 3.55136 0.360138 0.0290111 0.021008 0.0800306
10527.50 1607.32 99.961185 45.0175 0.201078 4.45173 0.361317 0.384149 7.72801 37.8147 3.55138 0.36014 0.0290113 0.0210082 0.0800311
10234.80 1607.02 99.960572 45.0177 0.201079 4.45176 0.355198 0.384151 7.73356 37.8149 3.5514 0.360142 0.0290114 0.0210083 0.0800316
9942.09 1606.72 99.959958 45.018 0.201081 4.45178 0.349069 0.384154 7.73913 37.8151 3.55142 0.360144 0.0290116 0.0210084 0.080032
9649.39 1606.42 99.959367 45.0183 0.201082 4.45181 0.34317 0.384156 7.74448 37.8154 3.55144 0.360146 0.0290118 0.0210085 0.0800325
9356.70 1606.11 99.958825 45.0185 0.201083 4.45183 0.337761 0.384158 7.74939 37.8156 3.55146 0.360148 0.0290119 0.0210086 0.080033
9064.04 1605.81 99.958356 45.0187 0.201084 4.45185 0.333076 0.38416 7.75365 37.8157 3.55148 0.36015 0.0290121 0.0210087 0.0800333
8771.39 1605.51 99.958056 45.0189 0.201084 4.45187 0.33008 0.384161 7.75637 37.8159 3.55149 0.360151 0.0290122 0.0210088 0.0800336
8478.75 1605.21 99.957841 45.019 0.201085 4.45188 0.327936 0.384162 7.75832 37.8159 3.5515 0.360152 0.0290122 0.0210089 0.0800337
8186.14 1604.91 99.957639 45.0191 0.201085 4.45189 0.325922 0.384163 7.76014 37.816 3.5515 0.360153 0.0290123 0.0210089 0.0800339
7893.54 1604.60 99.957457 45.0192 0.201086 4.45189 0.324099 0.384163 7.7618 37.8161 3.55151 0.360153 0.0290123 0.0210089 0.080034
7600.96 1604.30 99.957300 45.0192 0.201086 4.4519 0.322536 0.384164 7.76322 37.8161 3.55152 0.360154 0.0290124 0.021009 0.0800342
7308.40 1604.00 99.957176 45.0193 0.201086 4.45191 0.321295 0.384165 7.76434 37.8162 3.55152 0.360154 0.0290124 0.021009 0.0800343
7015.85 1603.70 99.957090 45.0193 0.201086 4.45191 0.320445 0.384165 7.76512 37.8162 3.55152 0.360155 0.0290124 0.021009 0.0800343
6723.33 1603.40 99.957051 45.0193 0.201086 4.45191 0.320049 0.384165 7.76548 37.8162 3.55153 0.360155 0.0290125 0.021009 0.0800344
6430.81 1603.09 99.957069 45.0193 0.201086 4.45191 0.32023 0.384165 7.76531 37.8162 3.55152 0.360155 0.0290125 0.021009 0.0800344
6138.32 1602.79 99.957696 45.019 0.201085 4.45188 0.326491 0.384163 7.75963 37.816 3.5515 0.360152 0.0290123 0.0210089 0.0800339
5845.85 1602.49 99.958340 45.0188 0.201084 4.45185 0.332917 0.38416 7.75379 37.8158 3.55148 0.36015 0.0290121 0.0210088 0.0800333
5553.39 1602.19 99.959001 45.0185 0.201082 4.45183 0.339515 0.384158 7.7478 37.8155 3.55146 0.360148 0.0290119 0.0210086 0.0800328
5260.95 1601.88 99.959678 45.0182 0.201081 4.45179 0.346274 0.384155 7.74167 37.8152 3.55143 0.360145 0.0290117 0.0210085 0.0800323
4968.52 1601.58 99.960375 45.0178 0.20108 4.45176 0.353227 0.384152 7.73535 37.815 3.55141 0.360143 0.0290115 0.0210083 0.0800317
4676.12 1601.28 99.961090 45.0175 0.201078 4.45173 0.360365 0.384149 7.72887 37.8147 3.55138 0.36014 0.0290113 0.0210082 0.0800311
4383.73 1600.98 99.961824 45.0172 0.201077 4.4517 0.367692 0.384147 7.72222 37.8144 3.55136 0.360138 0.0290111 0.021008 0.0800306
4091.36 1600.68 99.962578 45.0168 0.201075 4.45167 0.375215 0.384144 7.71539 37.8142 3.55133 0.360135 0.0290109 0.0210079 0.0800299
3799.00 1600.38 99.963351 45.0165 0.201074 4.45163 0.382938 0.384141 7.70838 37.8139 3.5513 0.360132 0.0290106 0.0210077 0.0800293
3506.67 1600.07 99.964144 45.0161 0.201072 4.4516 0.390852 0.384138 7.7012 37.8136 3.55127 0.360129 0.0290104 0.0210075 0.0800287
3214.35 1599.77 99.964960 45.0158 0.20107 4.45156 0.398991 0.384135 7.69381 37.8132 3.55124 0.360126 0.0290102 0.0210074 0.080028
2922.05 1599.47 99.965797 45.0154 0.201069 4.45152 0.407347 0.384131 7.68622 37.8129 3.55121 0.360123 0.0290099 0.0210072 0.0800274
2629.76 1599.17 99.966656 45.015 0.201067 4.45148 0.415924 0.384128 7.67843 37.8126 3.55118 0.36012 0.0290097 0.021007 0.0800267
2337.50 1598.87 99.967539 45.0146 0.201065 4.45144 0.424729 0.384125 7.67044 37.8123 3.55115 0.360117 0.0290094 0.0210068 0.080026
2045.25 1598.56 99.968443 45.0142 0.201063 4.4514 0.433751 0.384121 7.66225 37.8119 3.55112 0.360114 0.0290092 0.0210066 0.0800253
1753.02 1598.26 99.969372 45.0138 0.201062 4.45136 0.443028 0.384118 7.65382 37.8116 3.55109 0.36011 0.0290089 0.0210064 0.0800245
1460.80 1597.96 99.970326 45.0134 0.20106 4.45132 0.452551 0.384114 7.64518 37.8112 3.55105 0.360107 0.0290086 0.0210062 0.0800237
1168.61 1597.66 99.971306 45.0129 0.201058 4.45128 0.462323 0.38411 7.63631 37.8108 3.55102 0.360103 0.0290083 0.021006 0.080023
