Title: Sanloup as cited by Taylor et al. (2014)

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2-QFM rhol rhos viscosity aH2O chisqr
79786.80 2074.48 100.031243 0.0508686587202388 0.057614 276.120619 -902161.457766 29.212258 -11.429086 789.012442 122.033037 -3.492 0.000 3.023364 3.448801 -0.605 0 0.000
79490.20 2073.95 100.031459 0.0515088778421767 0.058310 276.153952 -902963.186174 29.221689 -11.327202 787.525004 122.080399 -3.495 0.000 3.023930 3.447915 -0.610 0 0.000
79193.60 2073.43 100.031675 0.0521688049789202 0.059025 276.188893 -903761.866000 29.231218 -11.221896 785.922107 122.128470 -3.498 0.000 3.024568 3.447019 -0.614 0 0.000
78897.00 2072.91 100.031889 0.0528461625425557 0.059758 276.224661 -904559.113330 29.240821 -11.113640 784.226079 122.177118 -3.501 0.000 3.025272 3.446116 -0.619 0 0.000
78600.40 2072.39 100.032103 0.0535413265941562 0.060509 276.261262 -905354.920316 29.250496 -11.002436 782.437467 122.226359 -3.504 0.000 3.026041 3.445206 -0.624 0 0.000
78303.80 2071.87 100.032316 0.0542546922757349 0.061278 276.298702 -906149.277133 29.260245 -10.888285 780.556743 122.276205 -3.507 0.000 3.026876 3.444289 -0.628 0 0.000
78007.20 2071.35 100.032528 0.0549866750852349 0.062066 276.336989 -906942.171844 29.270065 -10.771184 778.584288 122.326673 -3.510 0.000 3.027777 3.443365 -0.633 0 0.000
77710.70 2070.83 100.032740 0.0557374020708209 0.062872 276.376104 -907733.352802 29.279954 -10.651179 776.521513 122.377758 -3.513 0.000 3.028742 3.442434 -0.638 0 0.000
77414.20 2070.30 100.032950 0.0565045055609053 0.063694 276.415275 -908524.708769 29.289887 -10.528771 774.391549 122.429334 -3.516 0.000 3.029766 3.441498 -0.642 0 0.000
77117.70 2069.78 100.033159 0.0572946440554377 0.064540 276.456127 -909312.893721 29.299920 -10.402839 772.146753 122.481743 -3.519 0.000 3.030859 3.440552 -0.647 0 0.000
76821.20 2069.26 100.033368 0.0581052705219386 0.065405 276.497868 -910099.546782 29.310025 -10.273914 769.810777 122.534842 -3.522 0.000 3.032016 3.439598 -0.652 0 0.000
76524.70 2068.74 100.033577 0.0589369193813050 0.066292 276.540510 -910884.643844 29.320204 -10.141973 767.383446 122.588653 -3.525 0.000 3.033236 3.438637 -0.656 0 0.000
76228.30 2068.22 100.033785 0.0597898010718248 0.067199 276.584041 -911667.923802 29.330452 -10.007049 764.865762 122.643175 -3.528 0.000 3.034517 3.437669 -0.661 0 0.000
75931.80 2067.69 100.033992 0.0606617122316833 0.068126 276.627710 -912451.525457 29.340749 -9.869626 762.280319 122.698297 -3.531 0.000 3.035854 3.436695 -0.665 0 0.000
75635.40 2067.17 100.034199 0.0615594541168366 0.069078 276.673122 -913231.557502 29.351146 -9.728544 759.578324 122.754348 -3.534 0.000 3.037255 3.435711 -0.670 0 0.000
75339.00 2066.65 100.034406 0.0624806176400506 0.070053 276.719506 -914009.911297 29.361620 -9.584321 756.783036 122.811201 -3.537 0.000 3.038716 3.434720 -0.674 0 0.000
75042.60 2066.13 100.034613 0.0634258831840570 0.071052 276.766882 -914786.548820 29.372171 -9.436912 753.893611 122.868883 -3.540 0.000 3.040234 3.433719 -0.679 0 0.000
74746.20 2065.61 100.034819 0.0643959635347147 0.072075 276.815272 -915561.429134 29.382801 -9.286271 750.909070 122.927420 -3.543 0.000 3.041810 3.432711 -0.683 0 0.000
74449.80 2065.08 100.035026 0.0653876884402247 0.073119 276.863856 -916336.245208 29.393479 -9.133047 747.855729 122.986647 -3.546 0.000 3.043436 3.431696 -0.687 0 0.000
74153.50 2064.56 100.035233 0.0664091563199418 0.074194 276.914313 -917107.255587 29.404266 -8.975861 744.679435 123.046953 -3.549 0.000 3.045121 3.430671 -0.692 0 0.000
73857.10 2064.04 100.035440 0.0674581865628883 0.075295 276.965893 -917876.598586 29.415141 -8.815206 741.402733 123.108227 -3.552 0.000 3.046860 3.429636 -0.696 0 0.000
73560.80 2063.52 100.035648 0.0685347797490121 0.076423 277.018559 -918643.763730 29.426097 -8.651151 738.027295 123.170453 -3.555 0.000 3.048650 3.428592 -0.700 0 0.000
73264.50 2062.99 100.035857 0.0696359248919096 0.077576 277.071513 -919410.696621 29.437106 -8.484330 734.579007 123.233480 -3.558 0.000 3.050487 3.427541 -0.704 0 0.000
72968.30 2062.47 100.036066 0.0707706074855065 0.078761 277.126470 -920173.578246 29.448234 -8.313219 731.000056 123.297732 -3.561 0.000 3.052378 3.426479 -0.708 0 0.000
72672.00 2061.95 100.036276 0.0719364980477193 0.079978 277.182676 -920934.562509 29.459458 -8.138349 727.313768 123.363089 -3.564 0.000 3.054318 3.425406 -0.712 0 0.000
72375.70 2061.43 100.036488 0.0731341449887719 0.081225 277.240129 -921693.358096 29.470775 -7.959708 723.519823 123.429567 -3.567 0.000 3.056305 3.424322 -0.716 0 0.000
72079.50 2060.90 100.036700 0.0743593018740328 0.082499 277.297949 -922451.487088 29.482150 -7.778135 719.649014 123.496951 -3.570 0.000 3.058333 3.423232 -0.720 0 0.000
71783.30 2060.38 100.036914 0.0756229660842127 0.083812 277.357968 -923205.490277 29.493658 -7.591794 715.635751 123.565756 -3.573 0.000 3.060410 3.422127 -0.724 0 0.000
71487.10 2059.86 100.037130 0.0769215972260552 0.085159 277.419347 -923957.096675 29.505267 -7.401420 711.508238 123.635804 -3.576 0.000 3.062530 3.421012 -0.727 0 0.000
71190.90 2059.34 100.037347 0.0782563551725142 0.086541 277.482127 -924706.230733 29.516981 -7.206917 707.264054 123.707138 -3.579 0.000 3.064693 3.419884 -0.731 0 0.000
70894.70 2058.81 100.037566 0.0796231159512000 0.087955 277.545442 -925454.673912 29.528765 -7.009122 702.933965 123.779557 -3.582 0.000 3.066893 3.418748 -0.735 0 0.000
70598.60 2058.29 100.037787 0.0810330385028374 0.089411 277.611105 -926198.421538 29.540691 -6.806178 698.451610 123.853569 -3.585 0.000 3.069135 3.417596 -0.738 0 0.000
70302.40 2057.77 100.038011 0.0824833612060326 0.090906 277.678336 -926939.674810 29.552735 -6.598724 693.842848 123.929038 -3.588 0.000 3.071417 3.416432 -0.742 0 0.000
70006.30 2057.25 100.038237 0.0839742239827140 0.092442 277.747102 -927677.914357 29.564891 -6.386833 689.109337 124.005955 -3.591 0.000 3.073736 3.415254 -0.745 0 0.000
69710.20 2056.72 100.038465 0.0855016030603781 0.094013 277.816554 -928415.185250 29.577125 -6.171349 684.282099 124.084129 -3.594 0.000 3.076087 3.414066 -0.749 0 0.000
69414.10 2056.20 100.038697 0.0870786146661178 0.095633 277.888600 -929147.586213 29.589520 -5.950132 679.287519 124.164151 -3.597 0.000 3.078476 3.412861 -0.752 0 0.000
69118.00 2055.68 100.038931 0.0887008886334273 0.097297 277.962363 -929876.927179 29.602041 -5.724090 674.158095 124.245810 -3.600 0.000 3.080899 3.411641 -0.755 0 0.000
68822.00 2055.15 100.039168 0.0903626945512763 0.098999 278.036888 -930604.867270 29.614643 -5.494335 668.931668 124.328834 -3.603 0.000 3.083350 3.410409 -0.759 0 0.000
68525.90 2054.63 100.039409 0.0920796411727816 0.100755 278.114218 -931327.833648 29.627422 -5.258380 663.525648 124.413926 -3.606 0.000 3.085836 3.409158 -0.762 0 0.000
68229.90 2054.11 100.039653 0.0938455244692932 0.102560 278.193367 -932047.259914 29.640330 -5.017419 657.979842 124.500788 -3.609 0.000 3.088352 3.407891 -0.765 0 0.000
